user_id,assessment_id,score,date_taken,manager
4,11,4,2022-12-11 21:32:54,1
1,13,1,2022-12-12 06:26:05,1
10,10,1,2022-12-08 15:38:24,1
5,13,2,2022-12-02 04:32:31,2
4,1,1,2022-12-17 00:23:42,1
13,5,2,2022-12-17 07:36:38,1
2,5,1,2022-12-25 03:27:14,1
2,3,3,2022-12-30 11:20:27,1
11,13,3,2022-12-03 18:57:04,1
10,8,3,2022-12-17 15:54:15,2
11,16,4,2022-12-16 13:51:04,1
6,12,1,2022-12-26 20:45:16,1
4,14,3,2022-12-23 23:07:10,1
3,8,3,2022-12-04 07:07:00,1
13,8,4,2022-12-28 23:55:47,1
6,9,2,2022-12-18 20:54:21,1
12,11,1,2022-12-06 11:30:40,1
7,8,1,2022-12-20 01:13:33,1
11,11,1,2022-12-17 22:33:11,2
14,8,2,2022-12-09 15:05:52,1
4,8,3,2022-12-11 07:12:01,1
9,12,1,2022-12-17 23:57:13,1
11,15,3,2022-12-21 08:18:51,1
16,10,3,2022-12-17 10:40:28,1
10,8,2,2022-12-18 19:50:06,1
16,16,1,2022-12-11 11:42:59,1
4,16,1,2022-12-04 09:45:12,1
6,15,1,2022-12-25 10:13:11,1
3,13,2,2022-12-19 00:48:20,1
10,15,3,2022-12-07 11:18:16,1
14,12,1,2022-12-27 04:07:24,1
15,1,4,2022-12-05 05:01:10,1
13,6,3,2022-12-03 07:47:02,1
5,6,1,2022-12-26 01:23:10,1
8,12,2,2022-12-27 13:24:59,1
14,13,3,2022-12-13 23:35:01,1
8,2,1,2022-12-26 18:23:41,1
12,8,3,2022-12-16 01:20:08,1
16,7,2,2022-12-25 16:00:47,2
3,14,3,2022-12-28 06:32:27,1
13,16,2,2022-12-09 13:58:11,1
9,9,3,2022-12-15 17:04:45,1
9,5,1,2022-12-13 09:40:05,1
10,13,2,2022-12-05 14:40:30,1
8,12,1,2022-12-01 03:13:02,1
8,14,1,2022-12-08 07:46:18,1
14,10,1,2022-12-13 05:57:24,1
7,15,4,2022-12-20 07:32:12,1
15,13,2,2022-12-04 15:18:55,1
7,1,2,2022-12-13 16:04:49,1
7,4,2,2022-12-21 17:55:40,1
5,2,1,2022-12-09 01:15:10,1
15,1,4,2022-12-25 08:48:20,1
16,16,2,2022-12-24 21:30:14,1
4,7,1,2022-12-19 03:49:31,1
12,11,2,2022-12-13 23:54:13,2
10,7,3,2022-12-23 13:58:39,1
16,16,4,2022-12-03 12:25:53,1
13,9,2,2022-12-10 03:23:53,1
8,10,1,2022-12-14 15:30:05,1
5,13,2,2022-12-07 15:09:56,1
12,12,2,2022-12-09 11:42:02,1
12,1,2,2022-12-11 12:29:01,1
7,9,1,2022-12-17 11:25:50,1
13,13,1,2022-12-24 23:31:36,1
4,6,1,2022-12-27 04:02:38,1
8,4,1,2022-12-23 13:33:04,1
12,8,2,2022-12-22 15:35:33,1
7,5,2,2022-12-03 15:05:16,1
5,4,4,2022-12-17 10:04:41,1
6,1,2,2022-12-12 05:00:11,1
7,13,4,2022-12-05 00:24:30,1
4,1,2,2022-12-26 16:25:50,1
14,12,1,2022-12-29 12:18:30,2
1,14,3,2022-12-17 18:33:23,1
10,3,3,2022-12-21 00:58:18,1
3,9,3,2022-12-04 13:23:53,1
8,4,3,2022-12-20 19:54:20,1
7,4,2,2022-12-08 01:57:33,1
2,5,1,2022-12-02 05:13:24,1
15,9,3,2022-12-29 22:19:02,1
16,4,1,2022-12-18 18:10:40,1
1,14,2,2022-12-01 14:52:39,1
6,11,1,2022-12-10 14:16:19,1
10,3,2,2022-12-16 10:11:22,1
12,13,3,2022-12-01 17:04:35,1
5,4,3,2022-12-09 19:28:35,1
10,8,1,2022-12-12 23:40:05,1
11,5,4,2022-12-04 13:00:54,1
2,1,2,2022-12-15 07:23:11,1
10,11,4,2022-12-05 23:37:56,1
12,13,1,2022-12-30 17:16:50,1
5,3,4,2022-12-04 15:19:24,1
10,14,1,2022-12-22 15:03:02,1
6,4,3,2022-12-25 06:24:36,1
10,2,3,2022-12-06 11:45:30,1
3,6,4,2022-12-12 17:47:45,1
10,13,1,2022-12-03 10:42:54,1
2,12,4,2022-12-01 06:48:35,2
6,2,4,2022-12-15 16:00:32,1
1,12,1,2022-12-21 21:56:05,1
9,4,4,2022-12-23 16:05:48,1
12,12,2,2022-12-25 19:57:19,1
11,8,3,2022-12-14 09:28:17,1
16,2,3,2022-12-27 00:52:06,1
4,11,4,2022-12-12 14:48:27,1
1,7,2,2022-12-30 10:50:23,1
6,13,1,2022-12-01 14:38:41,1
3,7,2,2022-12-18 02:29:24,1
11,6,1,2022-12-26 19:20:53,1
6,9,3,2022-12-20 14:25:32,1
9,14,2,2022-12-29 20:28:28,1
12,1,3,2022-12-24 22:44:56,1
13,15,2,2022-12-08 10:05:38,1
5,11,3,2022-12-22 14:12:04,1
14,13,4,2022-12-21 12:07:30,1
2,7,4,2022-12-10 22:56:12,1
4,1,1,2022-12-03 09:32:54,1
15,11,1,2022-12-18 01:49:15,1
14,5,2,2022-12-07 02:29:03,1
6,9,4,2022-12-15 07:11:59,1
14,5,1,2022-12-20 14:41:03,1
6,13,3,2022-12-04 09:04:21,1
14,2,3,2022-12-20 06:03:50,1
13,5,1,2022-12-04 09:20:17,1
10,16,4,2022-12-13 17:33:06,1
9,4,3,2022-12-21 09:24:39,1
7,7,4,2022-12-23 08:32:57,1
16,4,2,2022-12-06 07:48:12,1
7,6,4,2022-12-26 20:47:03,1
13,1,3,2022-12-11 20:00:06,1
5,12,3,2022-12-01 06:48:19,1
2,8,1,2022-12-18 10:54:07,1
2,9,4,2022-12-30 17:51:25,1
14,12,4,2022-12-21 05:05:12,1
15,1,2,2022-12-19 12:31:23,1
13,13,3,2022-12-28 14:56:20,1
9,9,2,2022-12-17 13:32:52,1
13,6,1,2022-12-25 10:48:26,1
7,7,1,2022-12-17 07:55:54,1
